Order Date,Customer Name,State,Category,Sub-Category,Sales,Quantity,Profit,Day,Month,Year
13/01/2021,Brian Dahlen,California,Office Supplies,Storage,1325.85,5,238.65,Wed,Jan,2021
13/01/2021,Brian Dahlen,California,Furniture,Bookcases,334,3,3.93,Wed,Jan,2021
13/01/2021,Brian Dahlen,California,Office Supplies,Art,19.9,5,6.57,Wed,Jan,2021
13/01/2021,Michael Moore,Ohio,Office Supplies,Paper,37.41,7,13.09,Wed,Jan,2021
13/01/2021,Michael Moore,Ohio,Office Supplies,Binders,3.44,2,-2.52,Wed,Jan,2021
14/01/2021,Brendan Sweed,Pennsylvania,Furniture,Bookcases,61.96,4,-53.29,Thu,Jan,2021
15/01/2021,Erica Hackney,Georgia,Technology,Accessories,149.95,5,65.98,Fri,Jan,2021
16/01/2021,Delfina Latchford,Pennsylvania,Furniture,Furnishings,127.1,6,28.6,Sat,Jan,2021
16/01/2021,Delfina Latchford,Pennsylvania,Technology,Phones,124.2,3,-31.05,Sat,Jan,2021
16/01/2021,Delfina Latchford,Pennsylvania,Office Supplies,Binders,18.59,2,-13.63,Sat,Jan,2021
16/01/2021,Delfina Latchford,Pennsylvania,Office Supplies,Labels,30.07,3,10.15,Sat,Jan,2021
18/01/2021,David Wiener,Oregon,Office Supplies,Appliances,64.86,4,6.49,Mon,Jan,2021
19/01/2021,Toby Swindell,Arizona,Office Supplies,Binders,32.34,10,-23.72,Tue,Jan,2021
19/01/2021,Toby Swindell,Arizona,Office Supplies,Paper,56.06,4,19.62,Tue,Jan,2021
19/01/2021,Toby Swindell,Arizona,Office Supplies,Envelopes,108.72,5,36.69,Tue,Jan,2021
19/01/2021,Toby Swindell,Arizona,Furniture,Bookcases,181.47,5,-320.6,Tue,Jan,2021
20/01/2021,Hunter Lopez,Arkansas,Technology,Phones,699.93,7,181.98,Wed,Jan,2021
20/01/2021,Hunter Lopez,Arkansas,Office Supplies,Art,22.96,7,6.66,Wed,Jan,2021
20/01/2021,Hunter Lopez,Arkansas,Furniture,Furnishings,38.6,4,11.58,Wed,Jan,2021
20/01/2021,Hunter Lopez,Arkansas,Office Supplies,Art,6.63,3,1.79,Wed,Jan,2021
20/01/2021,Hunter Lopez,Arkansas,Office Supplies,Envelopes,23.34,3,10.97,Wed,Jan,2021
20/01/2021,Hunter Lopez,Arkansas,Furniture,Chairs,1067.94,3,224.27,Wed,Jan,2021
20/01/2021,Mark Van Huff,California,Office Supplies,Paper,19.36,2,9.29,Wed,Jan,2021
20/01/2021,Mark Van Huff,California,Furniture,Furnishings,19.3,2,5.79,Wed,Jan,2021
20/01/2021,Xylona Preis,Michigan,Office Supplies,Storage,13.98,1,4.05,Wed,Jan,2021
20/01/2021,Xylona Preis,Michigan,Furniture,Furnishings,272.94,3,30.02,Wed,Jan,2021
20/01/2021,Xylona Preis,Michigan,Office Supplies,Binders,19.05,5,8.95,Wed,Jan,2021
